,FEIcm1,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18
1,-4.991514425467525e-05,-9.981036031525559e-05,-0.0001497005988023714,-0.0001996107590198637,-0.00019965061142990237,-0.0002496504893150231,-0.00029971527049299507,-0.0003498600559777021,-0.00040010002500612263,-0.0004004204414634893,-0.00040076144674883185,-0.00045124091250925424,-0.0004516258530711248,-0.0005022097227802558,-0.0005528749497386576,-0.0005533477539111376,-0.0006041079339507149,-0.000654944833492821
2,0.0,4.991016170885487e-05,4.990767080892411e-05,4.991265285769764e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.020332345995193e-05,-5.0246206411475036e-05,-5.0289162685346334e-05,-0.00010066438494060748,-0.00010074551682459632,-0.0001008267795926665
3,4.9917635900786905e-05,0.0,-4.9905180157683304e-05,-4.9910161708965894e-05,-4.992261993908009e-05,-4.994256604895497e-05,-9.993504222249872e-05,-9.999500024993058e-05,-0.00010006504227755286,-0.00010014521055534686,-0.00010023053021945838,-0.00010032102728740888,-0.0001004116879205208,-0.00015074619365862407,-0.00015087507543753986,-0.0001510117789187415,-0.00015113350125950387,-0.00010083694665730114
4,-4.991514425467525e-05,-4.990767080892411e-05,0.0,0.0,0.0,4.994506043343172e-05,0.00014991754534987578,0.00020001000049996165,0.0002501876407305925,0.0003004657218688145,0.00035084202085000626,0.00040132437042239566,0.000451897971480264,0.0005025630716655183,0.0005532920879229852,0.000604138347681582,0.0006550108328713389,0.0006555062525210875
5,-4.991763590089793e-05,-4.9910161708965894e-05,-4.990767080892411e-05,-4.991265285747559e-05,-4.992511233159469e-05,-9.988513209802097e-05,-0.00019986009793138138,-0.00024996250562425715,-0.00035017508754375815,-0.0004005006257823407,-0.0005010271055664317,-0.0006017450606758956,-0.0006524466750313929,-0.0007032348804500987,-0.0008043434546550765,-0.0008553459119495788,-0.0009063444108761143,-0.0009574200050390669
6,-4.99201277954775e-05,0.0,0.0,0.0,0.0,0.0,9.995002498763839e-05,0.00010001000100023916,0.00015012760846722095,0.00015024790904982765,0.00020051130382481297,0.00020070245860503988,0.0002008838891121023,0.00020106564793409554,0.0002515596699537159,0.0002517876926175777,0.00020159258139318403,0.00020175527085664058
7,0.0,0.0,0.0,0.0,4.9927604972799244e-05,9.989511013430707e-05,9.994003597824097e-05,0.0001500000000000945,0.0002001400980686796,0.0002503755633451732,0.00025058888387707867,0.00030099327781685226,0.000301265314320176,0.00035179415016606264,0.00035209496504196025,0.00040275889845453605,0.0004534918875340743,0.0004538577912251984
8,0.0,9.982530571495118e-05,0.00014973048512656462,0.00019966057701892304,0.00019970044932593467,0.00024971283024521895,0.0002997901468972941,0.0003499475078738712,0.00040020010005004103,0.0004005006257823407,0.0004509469886762041,0.00045135406218665963,0.0005019576347755628,0.0005023863350916979,0.0005530973451328691,0.0005535705299180016,0.0005540166204984764,0.000604869197036173
9,9.984523987816019e-05,4.990767080892411e-05,4.990268975513246e-05,4.9905180157683304e-05,9.983028850957254e-05,9.986019572605365e-05,9.990009990024085e-05,0.00014992503748123553,0.0001500150015001367,0.00015012760846722095,0.00015024790904982765,0.00015038347786866524,0.0001505117399156486,0.00020085362791855133,0.00015076134479130587,0.00015089025248959942,0.0001510117789187415,0.00010075059190972624
10,0.0,-4.9905180157683304e-05,-4.99001996009385e-05,-4.990268975491041e-05,-4.9910161708965894e-05,-4.992511233159469e-05,-9.989012086708549e-05,-0.00014990256333380358,-0.00019999000049997218,-0.00020014009806879063,-0.00025037556334495115,-0.00025060144346433777,-0.0003009781790820343,-0.00040162658768005954,-0.0004019696512913562,-0.0004526024641690052,-0.000503296592682001,-0.0005037022112527323
