17,0.025,0.05,0.06,0.07,0.105,0.08,0.065,0.055,0.05,0.045,0.03,0.035,0.035,0.035,0.03,0.03,0.03,0.03,-0.025,-0.05,-0.06,-0.07,-0.105,-0.08,-0.065,-0.055,-0.05,-0.045,-0.03,-0.035,-0.035,-0.035,-0.03,-0.03,-0.03,-0.03
18,0.025,0.045,0.065,0.075,0.105,0.08,0.065,0.06,0.05,0.045,0.03,0.04,0.035,0.03,0.035,0.03,0.035,0.03,-0.025,-0.045,-0.065,-0.075,-0.105,-0.08,-0.065,-0.06,-0.05,-0.045,-0.03,-0.04,-0.035,-0.03,-0.035,-0.03,-0.035,-0.03
19,0.04,0.05,0.075,0.075,0.1,0.07,0.06,0.06,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.025,0.03,0.025,-0.04,-0.05,-0.075,-0.075,-0.1,-0.07,-0.06,-0.06,-0.04,-0.03,-0.02,-0.03,-0.02,-0.02,-0.02,-0.025,-0.03,-0.025
20,0.055,0.06,0.09,0.075,0.11,0.08,0.05,0.05,0.01,0.02,0.015,0.035,0.01,0.025,0.02,0.03,0.03,0.03,-0.055,-0.06,-0.09,-0.075,-0.11,-0.08,-0.05,-0.05,-0.01,-0.02,-0.015,-0.035,-0.01,-0.025,-0.02,-0.03,-0.03,-0.03
21,0.055,0.095,0.115,0.105,0.13,0.095,0.055,0.055,0.01,0.005,0.005,0.025,0.01,0.015,0.015,0.02,0.03,0.035,-0.055,-0.095,-0.115,-0.105,-0.13,-0.095,-0.055,-0.055,-0.01,-0.005,-0.005,-0.025,-0.01,-0.015,-0.015,-0.02,-0.03,-0.035
22,0.045,0.095,0.11,0.11,0.13,0.09,0.06,0.05,0.02,0.02,0.01,0.035,0.015,0.015,0.005,0.015,0.025,0.035,-0.045,-0.095,-0.11,-0.11,-0.13,-0.09,-0.06,-0.05,-0.02,-0.02,-0.01,-0.035,-0.015,-0.015,-0.005,-0.015,-0.025,-0.035
23,0.035,0.06,0.085,0.085,0.115,0.08,0.055,0.055,0.025,0.02,0.015,0.03,0.015,0.015,0.01,0.02,0.03,0.035,-0.035,-0.06,-0.085,-0.085,-0.115,-0.08,-0.055,-0.055,-0.025,-0.02,-0.015,-0.03,-0.015,-0.015,-0.01,-0.02,-0.03,-0.035
24,0.05,0.065,0.085,0.085,0.115,0.075,0.05,0.05,0.025,0.015,0.02,0.025,0.015,0.02,0.015,0.02,0.03,0.035,-0.05,-0.065,-0.085,-0.085,-0.115,-0.075,-0.05,-0.05,-0.025,-0.015,-0.02,-0.025,-0.015,-0.02,-0.015,-0.02,-0.03,-0.035
25,0.045,0.05,0.06,0.06,0.09,0.055,0.045,0.045,0.025,0.025,0.025,0.035,0.015,0.025,0.02,0.025,0.03,0.04,-0.045,-0.05,-0.06,-0.06,-0.09,-0.055,-0.045,-0.045,-0.025,-0.025,-0.025,-0.035,-0.015,-0.025,-0.02,-0.025,-0.03,-0.04
26,0.04,0.05,0.055,0.06,0.09,0.05,0.04,0.045,0.025,0.025,0.02,0.03,0.02,0.025,0.015,0.025,0.025,0.035,-0.04,-0.05,-0.055,-0.06,-0.09,-0.05,-0.04,-0.045,-0.025,-0.025,-0.02,-0.03,-0.02,-0.025,-0.015,-0.025,-0.025,-0.035
27,0.04,0.055,0.06,0.07,0.09,0.055,0.04,0.045,0.025,0.03,0.015,0.03,0.015,0.02,0.02,0.02,0.025,0.035,-0.04,-0.055,-0.06,-0.07,-0.09,-0.055,-0.04,-0.045,-0.025,-0.03,-0.015,-0.03,-0.015,-0.02,-0.02,-0.02,-0.025,-0.035
