,Date,FEIcm2,FEIcm3,FEIcm4,FEIcm5,FEIcm6,FEIcm7,FEIcm8,FEIcm9,FEIcm10,FEIcm11,FEIcm12,FEIcm13,FEIcm14,FEIcm15,FEIcm16,FEIcm17,FEIcm18,FEIcm19,Inverse of FEIcm2,Inverse of FEIcm3,Inverse of FEIcm4,Inverse of FEIcm5,Inverse of FEIcm6,Inverse of FEIcm7,Inverse of FEIcm8,Inverse of FEIcm9,Inverse of FEIcm10,Inverse of FEIcm11,Inverse of FEIcm12,Inverse of FEIcm13,Inverse of FEIcm14,Inverse of FEIcm15,Inverse of FEIcm16,Inverse of FEIcm17,Inverse of FEIcm18,Inverse of FEIcm19
27,2023-02-082023-02-092023-02-10,0.98,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.05,0.03,0.03,0.0,0.0,0.16999999999999998,0.33,0.39,0.30000000000000004,0.22000000000000003,0.11000000000000001,0.09,0.06,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2023-02-092023-02-102023-02-13,0.99,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.04,0.03,0.03,0.0,0.0,0.15,0.32,0.39,0.30000000000000004,0.23000000000000004,0.12,0.09,0.06,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2023-02-102023-02-132023-02-14,1.02,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.03,0.03,0.0,0.0,0.12,0.30000000000000004,0.37,0.30000000000000004,0.24,0.13,0.09,0.06,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0
30,2023-02-132023-02-142023-02-15,1.04,0.22000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.03,0.0,0.0,0.1,0.27,0.33999999999999997,0.30000000000000004,0.23,0.14,0.1,0.07,0.05,0.02,0.0,0.0,0.0,0.0,0.0,0.0
31,2023-02-142023-02-152023-02-16,1.06,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.03,0.0,0.0,0.09,0.24,0.30000000000000004,0.29000000000000004,0.22000000000000003,0.15000000000000002,0.11000000000000001,0.08,0.07,0.03,0.01,0.0,0.0,0.0,0.0,0.0
32,2023-02-152023-02-162023-02-17,1.08,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.03,0.03,0.0,0.0,0.09,0.23000000000000004,0.3,0.28,0.22000000000000003,0.15000000000000002,0.12,0.08,0.07,0.03,0.02,0.0,0.0,0.0,0.0,0.0
33,2023-02-162023-02-172023-02-20,1.1099999999999999,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.0,0.0,0.08,0.23000000000000004,0.31,0.27,0.22000000000000003,0.15000000000000002,0.11,0.07,0.07,0.03,0.02,0.0,0.0,0.0,0.0,0.0
34,2023-02-172023-02-202023-02-21,1.1400000000000001,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.03,0.03,0.0,0.0,0.060000000000000005,0.23,0.33,0.27,0.22000000000000003,0.14,0.1,0.06,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.0
35,2023-02-202023-02-212023-02-22,1.15,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.03,0.03,0.0,0.0,0.04,0.22000000000000003,0.32,0.27,0.21000000000000002,0.13,0.09,0.06,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0
36,2023-02-212023-02-222023-02-23,1.1600000000000001,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.0,0.03,0.21000000000000002,0.31000000000000005,0.27,0.21000000000000002,0.12,0.09,0.06,0.05,0.03,0.0,0.0,0.0,0.0,0.0,0.0
